"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US37049","Craven County, North Carolina","104190","null","*****","*****","99041","null","526","null","5149","null","526","null",
"0500000US37051","Cumberland County, North Carolina","325841","null","*****","*****","306652","null","901","null","19189","null","901","null",
"0500000US37053","Currituck County, North Carolina","24864","null","*****","*****","24147","null","201","null","717","null","201","null",
"0500000US37055","Dare County, North Carolina","35187","null","*****","*****","33382","null","263","null","1805","null","263","null",
"0500000US37057","Davidson County, North Carolina","164058","null","*****","*****","156295","null","415","null","7763","null","415","null",
"0500000US37059","Davie County, North Carolina","41568","null","*****","*****","39751","null","251","null","1817","null","251","null",
"0500000US37061","Duplin County, North Carolina","59121","null","*****","*****","52206","null","396","null","6915","null","396","null",
"0500000US37063","Durham County, North Carolina","294618","null","*****","*****","254376","null","1311","null","40242","null","1311","null",
"0500000US37065","Edgecombe County, North Carolina","54669","null","*****","*****","53391","null","202","null","1278","null","202","null",
"0500000US37067","Forsyth County, North Carolina","364691","null","*****","*****","333778","null","1089","null","30913","null","1089","null",
"0500000US37069","Franklin County, North Carolina","62989","null","*****","*****","59741","null","363","null","3248","null","363","null",
"0500000US37071","Gaston County, North Carolina","211753","null","*****","*****","200821","null","577","null","10932","null","577","null",
"0500000US37073","Gates County, North Carolina","11615","null","*****","*****","11429","null","111","null","186","null","111","null",
"0500000US37075","Graham County, North Carolina","8651","null","*****","*****","8517","null","71","null","134","null","71","null",
"0500000US37077","Granville County, North Carolina","58341","null","*****","*****","55923","null","313","null","2418","null","313","null",
"0500000US37079","Greene County, North Carolina","21241","null","*****","*****","19668","null","186","null","1573","null","186","null",
"0500000US37081","Guilford County, North Carolina","511815","null","*****","*****","459811","null","1756","null","52004","null","1756","null",
"0500000US37083","Halifax County, North Carolina","52849","null","*****","*****","51862","null","209","null","987","null","209","null",
"0500000US37085","Harnett County, North Carolina","126620","null","*****","*****","119365","null","524","null","7255","null","524","null",
"0500000US37087","Haywood County, North Carolina","59577","null","*****","*****","58135","null","218","null","1442","null","218","null",
"0500000US37089","Henderson County, North Carolina","110905","null","*****","*****","102623","null","570","null","8282","null","570","null",
"0500000US37091","Hertford County, North Carolina","24285","null","*****","*****","23453","null","126","null","832","null","126","null",
"0500000US37093","Hoke County, North Carolina","51853","null","*****","*****","48683","null","422","null","3170","null","422","null",
"0500000US37095","Hyde County, North Carolina","5629","null","*****","*****","5430","null","115","null","199","null","115","null",
"0500000US37097","Iredell County, North Carolina","167493","null","*****","*****","157013","null","530","null","10480","null","530","null",
"0500000US37099","Jackson County, North Carolina","41227","null","*****","*****","39749","null","262","null","1478","null","262","null",
"0500000US37101","Johnston County, North Carolina","182155","null","*****","*****","168594","null","885","null","13561","null","885","null",
"0500000US37103","Jones County, North Carolina","10074","null","*****","*****","9753","null","53","null","321","null","53","null",
"0500000US37105","Lee County, North Carolina","59540","null","*****","*****","52870","null","442","null","6670","null","442","null",
"0500000US37107","Lenoir County, North Carolina","58343","null","*****","*****","55691","null","210","null","2652","null","210","null",
"0500000US37109","Lincoln County, North Carolina","79783","null","*****","*****","75883","null","329","null","3900","null","329","null",
"0500000US37111","McDowell County, North Carolina","45013","null","*****","*****","43298","null","244","null","1715","null","244","null",
"0500000US37113","Macon County, North Carolina","33991","null","*****","*****","32316","null","200","null","1675","null","200","null",
"0500000US37115","Madison County, North Carolina","21130","null","*****","*****","20642","null","130","null","488","null","130","null",
"0500000US37117","Martin County, North Carolina","23510","null","*****","*****","23192","null","104","null","318","null","104","null",
"0500000US37119","Mecklenburg County, North Carolina","1011774","null","*****","*****","863382","null","2770","null","148392","null","2770","null",
"0500000US37121","Mitchell County, North Carolina","15263","null","*****","*****","14854","null","112","null","409","null","112","null",
"0500000US37123","Montgomery County, North Carolina","27475","null","*****","*****","25052","null","235","null","2423","null","235","null",
"0500000US37125","Moore County, North Carolina","93070","null","*****","*****","88689","null","510","null","4381","null","510","null",
"0500000US37127","Nash County, North Carolina","94385","null","*****","*****","90338","null","485","null","4047","null","485","null",
"0500000US37129","New Hanover County, North Carolina","216430","null","*****","*****","204929","null","696","null","11501","null","696","null",
"0500000US37131","Northampton County, North Carolina","20628","null","*****","*****","20346","null","109","null","282","null","109","null",
"0500000US37133","Onslow County, North Carolina","185755","null","*****","*****","178320","null","768","null","7435","null","768","null",
"0500000US37135","Orange County, North Carolina","139807","null","*****","*****","122011","null","776","null","17796","null","776","null",
