"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US47143","Rhea County, Tennessee","32628","null","*****","*****","31696","176","null","null","932","176","null","null",
"0500000US47145","Roane County, Tennessee","52897","null","*****","*****","52051","188","null","null","846","188","null","null",
"0500000US47147","Robertson County, Tennessee","69344","null","*****","*****","66437","338","null","null","2907","338","null","null",
"0500000US47149","Rutherford County, Tennessee","307128","null","*****","*****","285318","1580","null","null","21810","1580","null","null",
"0500000US47151","Scott County, Tennessee","21954","null","*****","*****","21894","34","null","null","60","34","null","null",
"0500000US47153","Sequatchie County, Tennessee","14730","null","*****","*****","14463","127","null","null","267","127","null","null",
"0500000US47155","Sevier County, Tennessee","96287","null","*****","*****","91373","538","null","null","4914","538","null","null",
"0500000US47157","Shelby County, Tennessee","937005","null","*****","*****","876543","1867","null","null","60462","1867","null","null",
"0500000US47159","Smith County, Tennessee","19458","null","*****","*****","19185","152","null","null","273","152","null","null",
"0500000US47161","Stewart County, Tennessee","13301","null","*****","*****","13033","106","null","null","268","106","null","null",
"0500000US47163","Sullivan County, Tennessee","156734","null","*****","*****","154114","261","null","null","2620","261","null","null",
"0500000US47165","Sumner County, Tennessee","179473","null","*****","*****","172196","790","null","null","7277","790","null","null",
"0500000US47167","Tipton County, Tennessee","61446","null","*****","*****","60446","173","null","null","1000","173","null","null",
"0500000US47169","Trousdale County, Tennessee","9573","null","*****","*****","9487","60","null","null","86","60","null","null",
"0500000US47171","Unicoi County, Tennessee","17780","null","*****","*****","17315","131","null","null","465","131","null","null",
"0500000US47173","Union County, Tennessee","19293","null","*****","*****","19162","108","null","null","131","108","null","null",
"0500000US47175","Van Buren County, Tennessee","5704","null","*****","*****","5629","82","null","null","75","82","null","null",
