"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US06019","Fresno County, California","930517","*****","*****","null","725206","3561","null","null","205311","null","3561","null",
"0500000US06021","Glenn County, California","28078","*****","*****","null","23699","386","null","null","4379","null","386","null",
"0500000US06023","Humboldt County, California","134317","*****","*****","null","126977","624","null","null","7340","null","624","null",
"0500000US06025","Imperial County, California","173487","*****","*****","null","117302","1544","null","null","56185","null","1544","null",
"0500000US06027","Inyo County, California","18474","*****","*****","null","16709","314","null","null","1765","null","314","null",
"0500000US06029","Kern County, California","839153","*****","*****","null","667980","2850","null","null","171173","null","2850","null",
"0500000US06031","Kings County, California","151982","*****","*****","null","120680","1216","null","null","31302","null","1216","null",
"0500000US06033","Lake County, California","64360","*****","*****","null","58960","681","null","null","5400","null","681","null",
"0500000US06035","Lassen County, California","34628","*****","*****","null","32388","220","null","null","2240","null","220","null",
"0500000US06037","Los Angeles County, California","9840024","*****","*****","null","6366094","14359","null","null","3473930","null","14359","null",
"0500000US06039","Madera County, California","150615","*****","*****","null","118880","1336","null","null","31735","null","1336","null",
"0500000US06041","Marin County, California","252759","*****","*****","null","204384","1910","null","null","48375","null","1910","null",
"0500000US06043","Mariposa County, California","18193","*****","*****","null","17552","200","null","null","641","null","200","null",
"0500000US06045","Mendocino County, California","87577","*****","*****","null","76963","637","null","null","10614","null","637","null",
"0500000US06047","Merced County, California","256398","*****","*****","null","191776","1814","null","null","64622","null","1814","null",
"0500000US06049","Modoc County, California","9545","*****","*****","null","8995","163","null","null","550","null","163","null",
"0500000US06051","Mono County, California","14181","*****","*****","null","11946","325","null","null","2235","null","325","null",
"0500000US06053","Monterey County, California","416199","*****","*****","null","289760","2402","null","null","126439","null","2402","null",
"0500000US06055","Napa County, California","136644","*****","*****","null","105530","1313","null","null","31114","null","1313","null",
"0500000US06057","Nevada County, California","98521","*****","*****","null","93176","683","null","null","5345","null","683","null",
"0500000US06059","Orange County, California","3021840","*****","*****","null","2099537","5755","null","null","922303","null","5755","null",
"0500000US06061","Placer County, California","350074","*****","*****","null","313909","1479","null","null","36165","null","1479","null",
"0500000US06063","Plumas County, California","19926","*****","*****","null","18799","242","null","null","1127","null","242","null",
"0500000US06065","Riverside County, California","2192982","*****","*****","null","1711123","4630","null","null","481859","null","4630","null",
"0500000US06067","Sacramento County, California","1422348","*****","*****","null","1140502","4261","null","null","281846","null","4261","null",
"0500000US06069","San Benito County, California","55467","*****","*****","null","44080","965","null","null","11387","null","965","null",
"0500000US06071","San Bernardino County, California","2041029","*****","*****","null","1606646","5546","null","null","434383","null","5546","null",
"0500000US06073","San Diego County, California","3100500","*****","*****","null","2380015","6541","null","null","720485","null","6541","null",
"0500000US06075","San Francisco County, California","807755","*****","*****","null","519409","3171","null","null","288346","null","3171","null",
"0500000US06077","San Joaquin County, California","687036","*****","*****","null","528080","3265","null","null","158956","null","3265","null",
"0500000US06079","San Luis Obispo County, California","270121","*****","*****","null","241793","1384","null","null","28328","null","1384","null",
"0500000US06081","San Mateo County, California","721183","*****","*****","null","474724","3174","null","null","246459","null","3174","null",
"0500000US06083","Santa Barbara County, California","423594","*****","*****","null","324188","2099","null","null","99406","null","2099","null",
"0500000US06085","Santa Clara County, California","1788393","*****","*****","null","1129640","4365","null","null","658753","null","4365","null",
"0500000US06087","Santa Cruz County, California","262340","*****","*****","null","214048","1468","null","null","48292","null","1468","null",
"0500000US06089","Shasta County, California","177693","*****","*****","null","168389","722","null","null","9304","null","722","null",
"0500000US06091","Sierra County, California","3163","231","null","null","2972","196","null","null","191","null","116","null",
"0500000US06093","Siskiyou County, California","44673","*****","*****","null","42102","269","null","null","2571","null","269","null",
"0500000US06095","Solano County, California","414209","*****","*****","null","330528","2212","null","null","83681","null","2212","null",
"0500000US06097","Sonoma County, California","483456","*****","*****","null","403862","1961","null","null","79594","null","1961","null",
"0500000US06099","Stanislaus County, California","515115","*****","*****","null","409971","2660","null","null","105144","null","2660","null",
"0500000US06101","Sutter County, California","94615","*****","*****","null","73122","999","null","null","21493","null","999","null",
"0500000US06103","Tehama County, California","63200","*****","*****","null","57452","574","null","null","5748","null","574","null",
"0500000US06105","Trinity County, California","13693","*****","*****","null","13203","156","null","null","490","null","156","null",
"0500000US06107","Tulare County, California","441877","*****","*****","null","341499","2395","null","null","100378","null","2395","null",
"0500000US06109","Tuolumne County, California","55205","*****","*****","null","52529","374","null","null","2676","null","374","null",
"0500000US06111","Ventura County, California","822794","*****","*****","null","636101","3256","null","null","186693","null","3256","null",
"0500000US06113","Yolo County, California","200873","*****","*****","null","158200","1619","null","null","42673","null","1619","null",
"0500000US06115","Yuba County, California","72244","*****","*****","null","63500","666","null","null","8744","null","666","null",
"0500000US08001","Adams County, Colorado","442996","*****","*****","null","376454","2382","null","null","66542","null","2382","null",
"0500000US08003","Alamosa County, Colorado","15750","*****","*****","null","14868","265","null","null","882","null","265","null",
"0500000US08005","Arapahoe County, Colorado","574357","*****","*****","null","487576","2440","null","null","86781","null","2440","null",
"0500000US08007","Archuleta County, Colorado","12109","*****","*****","null","11729","169","null","null","380","null","169","null",
"0500000US08009","Baca County, Colorado","3783","*****","*****","null","3654","28","null","null","129","null","28","null",
"0500000US08011","Bent County, Colorado","6192","*****","*****","null","5923","92","null","null","269","null","92","null",
"0500000US08013","Boulder County, Colorado","297218","*****","*****","null","264892","1212","null","null","32326","null","1212","null",
"0500000US08014","Broomfield County, Colorado","55913","*****","*****","null","51485","517","null","null","4428","null","517","null",
"0500000US08015","Chaffee County, Colorado","17879","*****","*****","null","17311","161","null","null","568","null","161","null",
"0500000US08017","Cheyenne County, Colorado","2095","184","null","null","1918","185","null","null","177","null","100","null",
"0500000US08019","Clear Creek County, Colorado","9059","*****","*****","null","8745","125","null","null","314","null","125","null",
"0500000US08021","Conejos County, Colorado","8241","*****","*****","null","7982","120","null","null","259","null","120","null",
"0500000US08023","Costilla County, Colorado","3556","*****","*****","null","3182","156","null","null","374","null","156","null",
"0500000US08025","Crowley County, Colorado","5747","*****","*****","null","5425","117","null","null","322","null","117","null",
"0500000US08027","Custer County, Colorado","4208","*****","*****","null","4134","50","null","null","74","null","50","null",
"0500000US08029","Delta County, Colorado","30710","*****","*****","null","29351","244","null","null","1359","null","244","null",
"0500000US08031","Denver County, Colorado","604356","*****","*****","null","506998","2756","null","null","97358","null","2756","null",
"0500000US08033","Dolores County, Colorado","1806","184","null","null","1798","184","null","null","8","null","7","null",
"0500000US08035","Douglas County, Colorado","286883","*****","*****","null","268928","936","null","null","17955","null","936","null",
