"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US17197","Will County, Illinois","687727","*****","*****","null","605298","1688","null","null","82429","1688","null","null",
"0500000US17199","Williamson County, Illinois","67477","*****","*****","null","66332","235","null","null","1145","235","null","null",
"0500000US17201","Winnebago County, Illinois","287512","*****","*****","null","263837","1040","null","null","23675","1040","null","null",
"0500000US17203","Woodford County, Illinois","38942","*****","*****","null","38463","101","null","null","479","101","null","null",
"0500000US18001","Adams County, Indiana","35018","*****","*****","null","34688","110","null","null","330","110","null","null",
"0500000US18003","Allen County, Indiana","367747","*****","*****","null","344136","1039","null","null","23611","1039","null","null",
"0500000US18005","Bartholomew County, Indiana","81024","*****","*****","null","72877","489","null","null","8147","489","null","null",
"0500000US18007","Benton County, Indiana","8685","*****","*****","null","8516","43","null","null","169","43","null","null",
"0500000US18009","Blackford County, Indiana","12214","*****","*****","null","12015","83","null","null","199","83","null","null",
"0500000US18011","Boone County, Indiana","63013","*****","*****","null","60724","318","null","null","2289","318","null","null",
"0500000US18013","Brown County, Indiana","15007","*****","*****","null","14728","114","null","null","279","114","null","null",
"0500000US18015","Carroll County, Indiana","19994","*****","*****","null","19454","113","null","null","540","113","null","null",
"0500000US18017","Cass County, Indiana","38248","*****","*****","null","34761","340","null","null","3487","340","null","null",
"0500000US18019","Clark County, Indiana","114893","*****","*****","null","111152","444","null","null","3741","444","null","null",
"0500000US18021","Clay County, Indiana","26375","*****","*****","null","26176","56","null","null","199","56","null","null",
"0500000US18023","Clinton County, Indiana","32455","*****","*****","null","30103","263","null","null","2352","263","null","null",
"0500000US18025","Crawford County, Indiana","10598","*****","*****","null","10565","24","null","null","33","24","null","null",
"0500000US18027","Daviess County, Indiana","32777","*****","*****","null","32000","163","null","null","777","163","null","null",
"0500000US18029","Dearborn County, Indiana","49564","*****","*****","null","48962","177","null","null","602","177","null","null",
