"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US17069","Hardin County, Illinois","4357","*****","*****","null","4319","null","38","null","38","null","38","null",
"0500000US17071","Henderson County, Illinois","7379","*****","*****","null","7151","null","136","null","228","null","136","null",
"0500000US17073","Henry County, Illinois","50465","*****","*****","null","49348","null","181","null","1117","null","181","null",
"0500000US17075","Iroquois County, Illinois","29901","*****","*****","null","29024","null","141","null","877","null","141","null",
"0500000US17077","Jackson County, Illinois","59901","*****","*****","null","56678","null","349","null","3223","null","349","null",
"0500000US17079","Jasper County, Illinois","9735","*****","*****","null","9643","null","27","null","92","null","27","null",
"0500000US17081","Jefferson County, Illinois","39032","*****","*****","null","38560","null","143","null","472","null","143","null",
"0500000US17083","Jersey County, Illinois","22972","*****","*****","null","22758","null","64","null","214","null","64","null",
"0500000US17085","Jo Daviess County, Illinois","22709","*****","*****","null","22005","null","154","null","704","null","154","null",
"0500000US17087","Johnson County, Illinois","12666","*****","*****","null","12361","null","115","null","305","null","115","null",
"0500000US17089","Kane County, Illinois","509622","*****","*****","null","417452","null","1971","null","92170","null","1971","null",
"0500000US17091","Kankakee County, Illinois","112895","*****","*****","null","107894","null","439","null","5001","null","439","null",
"0500000US17093","Kendall County, Illinois","110767","*****","*****","null","101104","null","682","null","9663","null","682","null",
"0500000US17095","Knox County, Illinois","52881","*****","*****","null","51822","null","207","null","1059","null","207","null",
"0500000US17097","Lake County, Illinois","700424","*****","*****","null","573724","null","2197","null","126700","null","2197","null",
"0500000US17099","LaSalle County, Illinois","113865","*****","*****","null","109823","null","386","null","4042","null","386","null",
"0500000US17101","Lawrence County, Illinois","16853","*****","*****","null","16563","null","120","null","290","null","120","null",
"0500000US17103","Lee County, Illinois","36012","*****","*****","null","35271","null","199","null","741","null","199","null",
"0500000US17105","Livingston County, Illinois","38992","*****","*****","null","38205","null","237","null","787","null","237","null",
"0500000US17107","Logan County, Illinois","30353","*****","*****","null","29925","null","154","null","428","null","154","null",
"0500000US17109","McDonough County, Illinois","32673","*****","*****","null","31517","null","240","null","1156","null","240","null",
"0500000US17111","McHenry County, Illinois","307721","*****","*****","null","277412","null","1418","null","30309","null","1418","null",
"0500000US17113","McLean County, Illinois","168234","*****","*****","null","158884","null","702","null","9350","null","702","null",
"0500000US17115","Macon County, Illinois","110712","*****","*****","null","108652","null","327","null","2060","null","327","null",
"0500000US17117","Macoupin County, Illinois","47879","*****","*****","null","47282","null","172","null","597","null","172","null",
"0500000US17119","Madison County, Illinois","268473","*****","*****","null","262289","null","618","null","6184","null","618","null",
"0500000US17121","Marion County, Illinois","39586","*****","*****","null","39171","null","110","null","415","null","110","null",
"0500000US17123","Marshall County, Illinois","12692","*****","*****","null","12446","null","80","null","246","null","80","null",
"0500000US17125","Mason County, Illinois","14788","*****","*****","null","14599","null","82","null","189","null","82","null",
"0500000US17127","Massac County, Illinois","15439","*****","*****","null","15346","null","63","null","93","null","63","null",
"0500000US17129","Menard County, Illinois","12731","*****","*****","null","12680","null","32","null","51","null","32","null",
"0500000US17131","Mercer County, Illinois","16497","*****","*****","null","16382","null","48","null","115","null","48","null",
"0500000US17133","Monroe County, Illinois","32767","*****","*****","null","32511","null","93","null","256","null","93","null",
